Public Food Key,Classification,Food Name,Price ($/100g), Price / item ,Weight / item (g),"Energy with dietary fibre, equated 
(kJ)","Energy, without dietary fibre, equated 
(kJ)","Moisture (water) 
(g)","Protein 
(g)","Fat, total 
(g)","Total dietary fibre 
(g)","Alcohol 
(g)",Total sugars (g),Added sugars (g),"Available carbohydrate, with sugar alcohols 
(g)","Aluminium (Al) 
(ug)","Antimony (Sb) 
(ug)","Arsenic (As) 
(ug)","Cadmium (Cd) 
(ug)","Calcium (Ca) 
(mg)","Chromium (Cr) 
(ug)","Chloride (Cl) 
(mg)","Cobalt (Co) 
(ug)","Copper (Cu) 
(mg)","Fluoride (F) 
(ug)","Iodine (I) 
(ug)","Iron (Fe) 
(mg)","Lead (Pb) 
(ug)","Magnesium (Mg) 
(mg)","Manganese (Mn) 
(mg)","Mercury (Hg) 
(ug)","Molybdenum (Mo) 
(ug)","Nickel (Ni) 
(ug)","Phosphorus (P) 
(mg)","Potassium (K) 
(mg)","Selenium (Se) 
(ug)","Sodium (Na) 
(mg)","Sulphur (S) 
(mg)","Tin (Sn) 
(ug)","Zinc (Zn) 
(mg)","Vitamin A retinol equivalents 
(ug)","Thiamin (B1) 
(mg)","Riboflavin (B2) 
(mg)","Niacin derived equivalents 
(mg)","Pantothenic acid (B5) 
(mg)","Pyridoxine (B6) 
(mg)","Biotin (B7) 
(ug)","Cobalamin (B12) 
(ug)","Dietary folate equivalents 
(ug)","Vitamin C 
(mg)","Vitamin D3 equivalents 
(ug)","Alpha tocopherol 
(mg)","Alpha tocotrienol 
(mg)","Beta tocopherol 
(mg)","Beta tocotrienol 
(mg)","Delta tocopherol 
(mg)","Delta tocotrienol 
(mg)","Gamma tocopherol 
(mg)","Gamma tocotrienol 
(mg)","Vitamin E 
(mg)","Total saturated fatty acids, equated (%T)","Total polyunsaturated fatty acids, equated (%T)","Total long chain omega 3 fatty acids, equated 
(%T)","Total undifferentiated fatty acids 
(%T)","Total trans fatty acids, imputed 
(%T)","Total saturated fatty acids, equated 
(g)","Total monounsaturated fatty acids, equated 
(g)","Total polyunsaturated fatty acids, equated 
(g)","Total long chain omega 3 fatty acids, equated 
(mg)","Total undifferentiated fatty acids, mass basis basis 
(mg)","Total trans fatty acids, imputed 
(mg)","Caffeine 
(mg)","Cholesterol 
(mg)"
F007879,31301,"Salt, table, non-iodised", $0.10 , $0.01 ,10,0,0,0.2,0,0,0,0,0,0,0,,,,,34,3.8,61200,,,,19.9,0,,1,,,0,5,3,17,2.6,38178,,,0.1,0,0,0,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F007878,31301,"Salt, table, iodised", $0.10 , $0.01 ,10,0,0,0.2,0,0,0,0,0,0,0,,,,,34,0,61200,,,,4400,0,,1,0.054,,0.2,2,3,98,1.9,38168,,,0.1,0,0,0,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F008976,27101,"Sugar, white, granulated or lump", $0.11 , $2.20 ,2000,1600,1600,0,0,0,0,0,100,100,100,,0,0.2,0,1,0,,,0.001,,0,0,0,0,0,0,0,0,0,2,0,0,,,0,0,0,0,0,,0.01,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F008973,27101,"Sugar, raw", $0.15 , $4.50 ,3000,1597,1597,0,0,0,0,0,99.8,99.8,99.8,,,0,0,7,,,,0,,0,0.3,0,3,0,0,,,0,21,0,1,,,0,0,0,0,0,,0.04,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F006460,12401,"Pasta, white wheat flour, fresh, uncooked", $0.16 , $0.16 ,100,1168,1141,30.5,10.5,3.4,3.3,0,0.9,0,49.4,,,,,27,,420,,0.22,0,10,1.3,,33,0.85,,,,140,190,11,11,110,,0.7,0,0.17,0.11,3.89,0.56,0.09,5,0.3,16,0,0,0.2,,,,,,,,0.2,16.1,36.6,0.1,0,5.1,0.4,1.06,0.92,2.512,0,128.14,0,73
F006459,12401,"Pasta, white wheat flour, fresh, boiled, no added salt", $0.16 , $0.16 ,100,691,669,60.7,5.9,3,2.7,0,1.1,0,27.1,,,,,18,,120,,0.19,70,3.4,0.7,,18,0.47,,,,71,49,6,78,50,,0.4,0,0.08,0.05,1.91,0.21,0.04,2.3,0.1,7,0,0,0.2,,,,,,,,0.2,16.1,36.6,0.1,0,5.1,0.36,0.93,0.81,2.212,0,112.84,0,33
F006458,12401,"Pasta, white wheat flour, dry", $0.16 , $0.16 ,100,1458,1433,10.6,12.7,1.4,3.2,0,0,0,68.5,,,,,18,,90,,0.28,120,10,1,,30,1.1,,,,172,142,12,5,110,,0.6,0,0.07,0.06,3.56,0.3,0.1,4,0,16,0,0,0.3,0.1,0.1,1.1,0,0,0.7,0,0.37,25.14,60.8,0.025,0,0.2,0.24,0.14,0.58,0.238,0,1.62,0,0
F006456,12401,"Pasta, white wheat flour, boiled from dry, no added salt", $0.16 , $0.16 ,100,572,547,63,5.3,0.4,2.2,0,0.2,0,26.2,31.2,0,0,0.6,12,0.5,12,,0.141,,4.3,0.71,0,25,0.473,0,6.7,3,65,43,5.1,2,,,0.57,0,0.057,0.013,1.14,0.52,0,,0.3,15,0,0,0,,0,,0,,0,,0.01,25.1,60.28,0.02,0,0.4,0.06,0.04,0.14,0.047,0,0.85,0,0
F009222,24602,"Tomato, whole, canned in tomato juice, undrained", $0.19 , $1.88 ,1000,79,71,94,0.9,0,1,0,3,0,3,110,,0,0,20,9.8,,,0.085,,0.6,0.79,1.4,11,0.091,,2.2,,20,219,0,52,,,0.14,62,0.01,0.01,0.39,0.04,0.02,,0,19,5,0,1.1,,,,,,,,1.1,33.5,46.2,0,,0,0.01,0.01,0.02,0,,0,0,0
F009221,24602,"Tomato, whole, canned in tomato juice, drained", $0.19 , $1.88 ,1000,88,78,94,0.8,0.3,1.3,0,3,0,3,,,,,27,,,,0,,0,0.2,,9,0.04,,,,14,170,0.4,86,,,0.1,66,0,0,0.68,,0.03,,0,15,10,0,0.2,,,,,,,,0.2,0,0,0,,0,0,0,0,0,,0,0,0
F001010,24302,"Beetroot, canned in brine, drained", $0.19 , $1.88 ,1000,184,168,87.6,1.2,0,2,0,8.7,0,8.7,0,,0,,10,,,,0.12,,1.8,0.66,4.7,12,0.2,,1.8,,21,210,0,220,,,0.18,0,0,0,1.82,0,0,,0,10,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F006143,12101,"Oats, rolled, uncooked", $0.19 , $0.19 ,100,1486,1407,9.2,12.2,9.5,9.5,0,1,0,49.9,,,,,40,,,,,,74,3.5,,104,,,,,310,310,6.5,2,,,2.35,0,0.39,0.005,3.93,,0.2,,0,17,0,0,0.2,,0,,0,,0.3,,0.23,19.4,34.7,0,,0.1,1.73,4.19,3.1,0,,8.93,0,0
F006141,12601,"Oats, rolled, mixed with sugar or honey & other flavours, uncooked", $0.19 , $0.19 ,100,1629,1569,6.8,8.3,7.5,7.5,0,24,23,69.1,,,,,47,,,,,,78,2.5,,77,,,,,260,240,10,8,,,1.6,0,0.18,0.04,1.93,,0,,0,30,0,0,0.2,,0,,0,,0.1,,0.21,16.42,41.4,0,,0.4,1.16,3.8,2.92,0,,28.2,0,0
F006136,12101,"Oats, hulled, uncooked", $0.19 , $0.19 ,100,1589,1517,8,12.5,9.8,8.6,0,1.2,0,55.5,,,,,37,,,,,,74,3.9,,117,,,,,305,310,17,4,,,2.3,0,0.31,0.01,3.93,,0.2,,0,17,0,0,0.4,,0,,0,,0.3,,0.48,19.4,34.7,0,,0.1,1.79,4.32,3.2,0,,9.21,0,0
F004013,12104,"Flour, wheat, white, self-raising, added vitamins B1, B2, B3, B6, E & folate & Fe, Mg & Zn (Jackaroo)", $0.20 , $2.00 ,1000,1373,1344,12.3,10.7,1.4,3.7,0,1.1,0,65.2,,,,,21,,,,,,2.9,5.62,,116,,,,,136,174,23.3,852,,,2.81,0,0.756,0.523,6.43,,0.62,,0,217,0,0,4,,,,,,,,4.26,,,,,,0.22,0.14,0.61,0,,0,0,0
F004009,12103,"Flour, wheat, white, self-raising", $0.20 , $2.00 ,1000,1479,1461,12.2,10,1.3,2.2,0,1.9,0,73.2,240,,2.2,0,59,0,,,0.15,,5.8,1.2,0,33,1.2,,28,,620,150,13,740,,,0.75,0,0.23,0,3.21,0.23,0.06,,0,11,0,0,0.1,,,,,,,,0.1,20.2,64.1,0.2,,0.1,0.18,0.12,0.56,1.742,,0.87,0,0
F004008,12104,"Flour, wheat, white, plain, added vitamins B1, B2, B3, B6, E & folate & Fe, Mg & Zn (Jackaroo)", $0.20 , $2.00 ,1000,1417,1387,12.7,11.1,1.5,3.8,0,1.1,0,67.3,,,,,22,,,,,,3,5.8,,120,,,,,140,180,24,4,,,2.9,0,0.78,0.54,6.64,,0.64,,0,224,0,0,4.1,,0.4,,0,,1,,4.4,22.6,62.3,0,,0,0.23,0.14,0.63,0,,0,0,0
F004007,12103,"Flour, wheat, white, plain", $0.20 , $2.00 ,1000,1479,1461,12.2,10,1.3,2.2,0,1.9,0,73.2,53,,1.9,0,21,0,,,0.17,,7.5,1.2,0,36,1.3,,24,,130,170,12,3,,,0.84,0,0.23,0,3.21,0.23,0.06,,0,11,0,0,0.1,,,,,,,,0.1,20.2,64.1,0.2,,0.1,0.18,0.12,0.56,1.742,,0.87,0,0
F002276,24301,"Carrot, mature, peeled, fresh, raw", $0.22 , $2.20 ,1000,146,119,88.5,0.6,0,3.4,0,6.2,0,6.6,0,,0,0,26,2.3,70,,0.038,160,0.6,0.24,0,12,0.142,,1.6,,31,264,0,49,,,0.17,1701,0.02,0,0.16,0.12,0.02,3,0,34,3,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F002275,24301,"Carrot, mature, peeled, fresh, boiled, drained", $0.22 , $2.20 ,1000,139,112,89.8,1.1,0.3,3.3,0,4.6,0,5.1,0,,0,1,26,0,,,0.039,,0.7,0.23,0,11,0.14,,0,,30,262,0,67,,,0.19,1682,0.023,0.023,0.48,0.15,0.01,,0,29,2,0,0.3,,0,,0,,0,,0.33,0,0,0,,0,0,0,0,0,,0,0,0
F002274,24301,"Carrot, mature, peeled, fresh, baked, no added fat", $0.22 , $2.20 ,1000,179,146,86,0.7,0,4.1,0,7.6,0,8,0,,0,0,32,2.8,85,,0.046,195.12,0.6,0.29,0,14,0.174,,2,,38,322,0,60,,,0.21,1971,0.022,0,0.2,0.15,0.02,3.6,0,33,2,0,0,,0,,0,,0,,0,,,,,,0,0,0,0,,0,0,0
F000434,24502,"Bean, green, frozen, boiled, drained", $0.22 , $2.20 ,1000,108,78,92.2,1.4,0.2,3.8,0,1.3,0,2.8,,,,,33,,,,,,0,0.8,,18,,,,,42,76,0,2,,,1.9,59,0.02,0.06,0.53,,0.12,,0,17,3,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F006507,13401,"Pastry, shortcrust style, commercial, raw", $0.23 , $0.23 ,100,1685,1679,23.7,5.5,23.8,0.8,0,7.5,7.5,42,,,,,10,,297,,0.08,0,0,0.3,,13,0.53,,,,53,60,5,382,55,,0.2,5,0.02,0,1.56,0.12,0.04,1,0,46,0,0,1.7,,,,,,,,1.7,45.8,9.25,0,,4.4,10.41,9.24,2.1,0,,1006.54,0,29
F006506,13401,"Pastry, shortcrust style, commercial, baked", $0.23 , $0.23 ,100,2080,2066,7.2,6.6,27.5,1.8,0,9.6,9.6,55.6,,,,,12,,380,,0.1,0,1.4,0.3,,14,0.68,,,,68,72,7,463,70,,0.2,5,0.05,0,1.78,0.16,0.05,1.4,0,8,0,0,1.8,,,,,,,,1.8,45.8,9.25,0,,4.4,12.04,10.69,2.43,0,,1164.65,0,36
F006225,24802,"Onion, mature, brown skinned, peeled, raw", $0.24 , $2.40 ,1000,139,117,88.8,1.3,0,2.7,0,5.8,0,5.8,0,,0,0,23,0.3,40,,0.048,0,0.3,0.24,0,12,0.15,,1.9,4,44,180,0,8,,,0.2,0,0.02,0,0.23,0.1,0.04,,0,35,7,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F006224,24802,"Onion, mature, brown skinned, peeled, fresh, fried, no added fat", $0.24 , $2.40 ,1000,224,189,82,2.1,0,4.4,0,9.4,0,9.4,0,,0,0,37,0.5,64,,0.077,0,0.4,0.4,0,20,0.242,,3.1,6,70,290,0,12,,,0.33,0,0.029,0,0.38,0.16,0.05,,0,46,10,0,0,,0,,0,,0,,0,,,,,,0,0,0,0,,0,0,0
F005520,16601,"Melon, watermelon, peeled, raw", $0.24 , $22.00 ,9000,133,130,91.6,0.6,0,0.4,0,7,0,7.3,0,0,0,0,5,0,10,,0.029,0,0.1,0.1,0,12,0.04,0,1.3,9,14,122,0.1,3,,,0.06,48,0.02,0,0.08,0.09,0,0.7,0,0,4,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009340,24302,"Turnip, white, peeled, fresh, raw", $0.26 , $1.30 ,500,94,80,92.9,1.3,0,1.7,0,3.2,0,3.4,,,,,21,,,,,,0.4,0.3,,8,,,,,28,320,0.2,24,,,0.2,0,0.04,0.04,1,,0.11,,0,15,23,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009339,24302,"Turnip, white, peeled, fresh, boiled, no added fat", $0.26 , $1.30 ,500,101,86,92.4,1.4,0,1.8,0,3.4,0,3.6,,,,,21,,,,,,0.4,0.31,,8,,,,,27,310,0.2,24,,,0.2,0,0.034,0.039,1.08,,0.09,,0,10,16,0,0,,,,,,,,0,,,,,,0,0,0,0,,0,0,0
F008439,11502,"Soft drink, fruit flavours, intense sweetened or diet", $0.28 , $2.78 ,1000,1,1,100,0,0,0,0,0,0,0,,,,,2,0,,,,,1.7,0,,0,,,0,0,0,1,0,14,,,0,0,0,0,0,,0,,0,0,0,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F009208,24602,"Tomato, paste, with added salt", $0.28 , $1.40 ,500,277,249,76.5,3.1,0.3,3.5,0,9.9,0,10.4,,,,,28,,,,0.23,,4.7,1.6,,38,0.23,,,,68,960,0.9,630,,,0.4,220,0.12,0.08,3.12,,2.03,,0,12,15,0,3.4,,,,,,,,3.35,0,0,0,,0,0,0,0,0,,0,0,0
F009206,24602,"Tomato, paste, no added salt", $0.28 , $1.40 ,500,266,238,76.5,3.4,0.5,3.6,0,9.6,0,10.1,,,,,28,,,,,,0.5,4.7,,38,,,,,68,867,0.9,36,,,0.4,220,0.12,0.08,3.15,,2.04,,0,12,15,0,3.4,,,,,,,,3.36,0,0,0,,0,0,0,0,0,,0,0,0
F003202,24704,"Corn, kernels, purchased frozen, raw", $0.29 , $2.86 ,1000,390,370,76,3,0.9,2.5,0,3,0,16.8,,,,,3,,,,0,,0,0.4,,24,0.12,,,,71,202,1,5,,,0.5,2,0.08,0,1.89,,0.18,,0,45,4,0,0.1,,,,,,,,0.09,29.1,59.7,0,,0,0.24,0.03,0.49,0,,0,0,0
F003201,24704,"Corn, kernels, purchased frozen, boiled, drained", $0.29 , $2.86 ,1000,452,424,73.9,3.1,0.9,3.5,0,2.6,0,19.9,,,0,0,5,,,,0,,0,0.6,0,27,0.11,0,,,74,210,1,8,,,0.6,9,0.06,0.06,2.01,,0.18,,0,31,5,0,0.1,,,,,,,,0.09,29.1,59.7,0,,0,0.24,0.03,0.49,0,,0,0,0
F003220,24704,"Corn, kernels, canned in brine, drained", $0.29 , $2.86 ,1000,391,369,77.4,2.9,1,2.7,0,3.5,0,16.8,,,0,0,2,0,,,0.047,,0,0.42,,17,0.096,0,0,,62,124,0,170,,,0.5,8,0,0.03,1.58,,0.18,,0,45,3,0,0.1,,,,,,,,0.09,29.1,59.7,0,,0,0.25,0.04,0.52,0,,0,0,0
F000111,16101,"Apple, royal gala, unpeeled, raw", $0.29 , $0.62 ,215,222,205,86.7,0.4,0,2.1,0,11.1,0,12.1,,,,,5,14,,,0.035,,0,0.05,,6,0.067,,1,,9,110,0.5,1,,,0.03,4,0.025,0.025,0.32,0,0.02,,0,59,2,0,0,,0,,,,,,0.05,0,0,0,,0,0,0,0,0,,0,0,0
F000419,24502,"Bean, broad, fresh, raw", $0.30 , $0.30 ,100,235,177,76,6.9,0.5,7.1,0,0.7,0,2.2,,,,,17,,,,,,0,1.9,,30,,,,,95,250,1.2,4,,,1.2,34,0.2,0.34,3.18,,0.04,,0,96,41,0,0,,,,,,,,0,0,0,0,,0,0,0,0,0,,0,0,0
F000418,24502,"Bean, broad, fresh, boiled, drained", $0.30 , $0.30 ,100,252,190,74.2,7.4,0.5,7.6,0,0.8,0,2.4,,,,,16,,,,,,0,1.74,,26,,,,,92,202,1.1,3,,,1.1,31,0.14,0.274,3.42,,0.03,,0,62,29,0,0,,,,,,,,0,,,,,,0,0,0,0,,0,0,0
F008969,27101,"Sugar, brown", $0.30 , $0.30 ,100,1552,1552,1.7,0.2,0,0,0,96.8,96.8,96.8,,,,,150,,,,0.12,,0,1.2,,21,0.05,,,,0,300,0,21,,,0,0,0,0,0,,0.08,,0,0,0,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
F004015,12103,"Flour, wheat, wholemeal, self-raising", $0.31 , $3.10 ,1000,1471,1380,11,11.4,2.1,11.3,0,0.9,0,65.3,,,,,68,,100,,0.386,109.88,1,2.2,,102,2.928,,,,874,284,15,655,93,,1.3,0,0.423,0.111,7.63,0.41,0.41,10,0,47,0,0,0.6,,,,0,,1.5,,0.8,19.6,63.9,0,,0,0.3,0.24,0.97,0,,0,0,0
F004014,12103,"Flour, wheat, wholemeal, plain", $0.31 , $3.10 ,1000,1371,1301,11.2,11.6,1.6,8.8,0,2,0,61.6,130,,4.1,0,29,6.5,100,,0.31,110,8.9,2.8,0,89,3.3,,33,,230,310,19,2,93,,1.7,0,0.48,0.04,5.87,0.56,0.1,10,0,118,0,0,0.4,,0,,0,,0,,0.4,18.9,64.5,0,,0,0.22,0.17,0.74,0,,0,0,0
F006465,12401,"Pasta, wholemeal wheat flour, dry", $0.33 , $0.33 ,100,1404,1324,9.7,12.5,2.2,9.9,0,0,0,60.6,,,,,63,,90,,0.56,0,10,3.9,,85,4.6,,,,378,305,0,11,150,,1.4,2,0.56,0.12,5.5,0.6,0.04,13,0,29,0,0,0.4,,,,,,,,0.35,20.7,62.2,0,,0.2,0.33,0.27,0.98,0,,2.69,0,0
F006464,12401,"Pasta, wholemeal wheat flour, boiled from dry, no added salt", $0.33 , $0.33 ,100,586,540,62.5,5.4,0.8,5.7,0,0,0,24.6,,,,,28,,110,,0.25,130,3.4,1.8,,39,2,,,,140,92,0,5,60,,0.6,2,0.21,0.07,2.6,0.18,0.11,4.5,0,7,0,0,0.2,,,,,,,,0.19,19.9,63,0,,0.2,0.11,0.1,0.36,0,,0.98,0,0
F006277,16301,"Orange, peeled, raw", $0.33 , $0.83 ,250,175,155,86.7,1,0,2.4,0,8.2,0,8.2,0,,0,0,23,2.2,12,,0.036,0,0,0,0,12,0.024,,0,,24,190,0,0,,,0.07,8,0.07,0.02,0.24,0.1,0.07,,0,62,52,0,0.1,,0,,0,,0,,0.1,,,,,,0,0,0,0,,0,0,0
F006276,16301,"Orange, navel, peeled, raw", $0.33 , $0.83 ,250,174,155,86.4,1,0,2.4,0,8.2,0,8.2,0,,0,0,23,2.5,0,,0.036,0,0,0,0,12,0.024,,0,,24,190,0,0,,,0.07,6,0.07,0.02,0.29,0.1,0.07,,0,62,52,0,0.1,,0,,0,,0,,0.1,0,0,0,,0,0,0,0,0,,0,0,0
F001683,12201,"Breadcrumbs, white", $0.34 , $0.34 ,100,1598,1550,7.3,14,4.1,4.7,0,4.6,0,68.5,,,,,124,,,,,,86.2,2,,43,,,,,142,193,15.8,650,,,1.2,0,0.768,0.063,6.21,,0.11,,0.1,449,0,0,0.5,,,,,,,,0.49,,,,,,0.5,1.72,1.47,0,,39.44,0,0
F001463,12201,"Bread, from white flour", $0.34 , $0.34 ,100,1050,1017,38.2,9.5,2,3.2,0,3.1,0,46.2,175,0,0.8,0.4,84,69.7,826,,0.148,36.67,61.3,1.35,0.1,29,0.862,0,18.4,,96,130,10.7,439,98,1.2,0.81,0,0.648,0.042,4.2,0.47,0.08,4.6,0,357,0,0,0.2,0,0,0.1,0,0,0.2,0,0.24,16.08,43,0,,0.9,0.28,0.69,0.76,0,,15.82,0,0
F001862,12509,"Breakfast cereal, whole wheat, flakes, dried fruit & nuts, added fibre, vitamins B1, B2, B3 & folate, Ca & Fe", $0.36 , $0.36 ,100,1490,1366,7,9.1,3.3,15.5,0,25,11.8,65.6,458.8,,4.1,1.4,376,12.9,,,0.583,,2,7.38,0.5,86,3.589,0.5,37.4,,220,527,14.9,98,,,2.04,0,0.494,0.846,9.52,1.3,0.09,,0,677,0,0,1.1,,0.3,,0,,1.5,,1.4,13.9,47.2,0,,0.4,0.38,1.05,1.29,0,,10.96,0,0
F001829,12506,"Breakfast cereal, wheat bran, pellets, added vitamins B1, B2 & folate, Fe & Zn", $0.36 , $0.36 ,100,1348,1120,3,14.2,5,27.3,0,15.4,7.7,41.7,490,,1.9,,67,,560,,0.825,0,5.4,12.2,2.3,271,11.5,,42,,685,906,16,390,120,,6.77,1,0.707,1.237,19.2,0.83,1.02,26,0,472,0,0,2,,1.2,,0,,2.2,,2.78,18.97,63.55,0,,0.3,0.78,0.69,2.62,0,,12.38,0,0
F006554,16402,"Peach, canned in pear juice, drained", $0.36 , $3.64 ,1000,191,175,86.7,0.8,0.1,2,0,8.2,0,9.4,,,,,4,3.1,,,0.08,,0.8,0.27,,7,0.25,,0,9,16,121,0,7,,,0.17,63,0,0.023,0.63,,0.02,,0,0,9,0,0.7,,,,,,,,0.7,0,0,0,,0,0,0,0,0,,0,0,0
F006553,16402,"Peach, canned in pear juice", $0.36 , $3.64 ,1000,184,174,87.4,0.6,0,1.3,0,8.3,0,9.5,,,,,4,3.1,,,,,0.8,0.32,,7,,,0,9,14,141,0,8,,,0.18,38,0,0.022,0.5,,0.02,,0,18,10,0,0.4,,,,,,,,0.44,,,,,,0,0,0,0,,0,0,0
F000091,16101,"Apple, fuji, unpeeled, raw", $0.37 , $0.79 ,215,245,226,84.1,0.3,0.3,2.4,0,12.1,0,12.5,,,,,6,,0,,0.034,0,0,0,,4,0.052,,,,8,91,0,2,,,0.05,1,0.02,0.01,0.14,,0.03,,0,59,5,0,0.4,,0,,0,,0,,0.36,0,0,0,,0,0,0,0,0,,0,0,0
F001849,12505,"Breakfast cereal, whole wheat, biscuit, no added sugar, unfortified", $0.37 , $0.37 ,100,1460,1359,6.6,10.4,2.7,11.5,0,1.1,0,63.7,,,,,31,,,,,,13,6.8,,110,,,,,320,370,15,370,,,2.2,0,0.05,0.03,6.2,,0,,0,48,0,0,0.5,,0.4,,0,,1.3,,0.83,18.2,61.7,0,,0.3,0.35,0.37,1.2,0,,5.83,0,0
F001845,12506,"Breakfast cereal, whole wheat, biscuit, bran, added vitamins B1, B2, B3 & folate & Fe", $0.37 , $0.37 ,100,1501,1356,5.8,12.3,5.3,17,0,8.3,5.2,56.4,,,,,43,,690,,0.54,70,7.4,7.5,,160,6.4,,,,430,540,8,345,120,,2.6,1,1.37,1.08,9.81,0.84,0.36,14,0,385,0,0,0.6,,,,,,,,0.61,75.4,15,0,,0.2,2.88,0.35,0.57,0,,7.63,0,0
F001844,12506,"Breakfast cereal, whole wheat, biscuit, added vitamins B1, B2, B3 & folate, Fe & Zn", $0.37 , $0.37 ,100,1418,1322,6.1,11.9,2.3,11,0,2.4,0.5,61,143.5,,0,,38,0.5,470,,0.327,140,1.8,14.33,0,111,3.856,,22.4,,229,350,22.2,299,130,,2.29,0,2.567,1.711,20.09,0.2,0.01,10,0,456,0,0,0.4,,0.2,,0,,0,,0.48,18.3,63,0,,0.3,0.3,0.29,1.04,0,,4.97,0,0
F008215,22101,"Seed, sunflower", $0.37 , $0.37 ,100,2362,2258,4.8,24.7,48.3,13,0,2.1,0,3.1,110,,1.6,17,99,0,250,,2,0,0,4.85,0,370,2.1,,38,,775,610,7.5,0,200,,5.44,0,0.875,0.16,16.56,0.8,0.56,29,0,126,0,0,41.2,,0,,0,,0.1,,41.21,9.5,62.15,0,,0,4.39,12.77,28.7,0,,0,0,0
F006545,24501,"Pea, yellow, whole, dried", $0.38 , $0.38 ,100,1361,1220,10,23.3,2.3,17.7,0,2.6,0,43.6,,,,,59,,,,,,0.4,4.8,,113,,,,,321,990,21,12,,,2.5,42,0.94,0.02,6.87,,0.1,,0,274,2,0,0.2,,,,,,,,0.2,17.4,60.9,0,,0,0.32,0.48,1.12,0,,0,0,0
F006544,25101,"Pea, split, dried, boiled, drained", $0.38 , $0.38 ,100,364,280,72.5,6.6,0.4,8.3,0,2.9,0,9.1,,,,,13,,0,,0.2,80,0,1,,23,0.24,,,,78,140,2,9,37,,0.6,5,0.11,0,1.74,0.08,0.02,2.3,0,65,0,0,0,,,,,,2.1,,0.21,14.6,60.2,0,,0,0.05,0.08,0.19,0,,0,0,0
F006543,25101,"Pea, split, dried", $0.38 , $0.38 ,100,1427,1330,10.7,23,2,10.1,0,2.5,0,50.5,,,,,42,,50,,0.75,0,0,3.8,,95,0.82,,,,330,930,9,7,180,,2.5,16,0.85,0.15,5.84,1.3,0.08,13,0,274,0,0,0,,,,,,6.6,,0.66,14.6,60.2,0,,0,0.23,0.39,0.96,0,,0,0,0
F003988,12103,"Flour, cornflour, from maize starch", $0.38 , $3.80 ,1000,1458,1458,11,0.4,0.6,0,0,0,0,84.1,0,,0,0,3,0,,,0,,11,0,0,3,0.004,,1.4,,14,9,0,16,,,0.02,0,0,0,0,0.08,0,,0,0,0,0,0,,,,,,,,0,26.5,61.8,0,,0,0.11,0.04,0.25,0,,0,0,0
F003989,12103,"Flour, cornflour, from maize & wheat starch", $0.38 , $3.80 ,1000,1466,1462,11.5,0.6,0.4,0.5,0,0,0,84.4,,,,,8,,20,,0.04,170,0,0.75,,5,0.1,,,,43,16,0,10,0,,0.05,0,0.035,0,0.47,0,0,0,0,0,0,0,0.5,,,,,,,,0.5,27.65,59.7,0.55,,0,0.08,0.04,0.18,1.658,,0,0,0
F000379,12101,"Barley, pearl, uncooked", $0.38 , $0.38 ,100,1424,1312,9.8,9.9,3.1,13.1,0,1,0,60.6,,,,,28,,110,,0.4,0,0,2.2,,95,1.1,,,,192,350,17,10,100,,1.2,0,0.17,0.02,8.85,0.19,0.2,12,0,23,0,0,0.7,,,,,,,,0.7,22.6,61.3,0,,0,0.5,0.36,1.37,0,,0,0,0
F000378,12101,"Barley, pearl, boiled, no added fat or salt", $0.38 , $0.38 ,100,590,544,62.6,4.1,1.3,5.4,0,0.4,0,25.1,,,,,14,,56,,0.232,151.22,1.4,0.92,,41,1.034,,,,80,145,7.1,10,48,,0.51,0,0.056,0.007,3.67,,0.07,,0,7,0,0,0.3,,,,,,,,0.28,,,,,,0.21,0.15,0.57,0,,0,0,0
F006541,24501,"Pea, green, whole, dried", $0.38 , $0.38 ,100,1297,1145,11.7,22,2.1,16.8,0,2.4,0,40.9,,,,,56,,,,,,0.4,5.9,,121,,,,,410,990,0,5,,,3.6,42,0.92,0.02,6.62,,0.3,,0,274,2,0,0.1,,,,,,,,0.1,14.3,61.9,0,,0,0.24,0.4,1.04,0,,0,0,0
F007368,24101,"Potato, red skin, peeled, raw", $0.39 , $0.72 ,184,240,227,81.2,2.3,0,1.7,0,1.7,0,10.7,,,,,6,,70,,0.066,0,0,0.24,,20,0.26,,,,55,400,0,5,,,0.28,0,0.08,0.04,1.67,0.3,0.1,,0,14,14,0,0,,0,,0,,0,,0,0,0,0,,0,0,0,0,0,,0,0,0
